Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
491,Davangere,Davangere,Rice,Medium,FAQ,2700,6000,4350,07 Sep 2018
492,Davangere,Davangere,Rice,Medium,FAQ,2700,6000,4350,17 Oct 2018
493,Davangere,Davangere,Rice,Medium,FAQ,2400,3710,3210,20 Jun 2025
494,Davangere,Davangere,Rice,Basumathi,FAQ,14000,15000,14500,13 Apr 2017
495,Davangere,Davangere,Rice,Broken Rice,FAQ,2500,2500,2500,24 Jun 2024
496,Davangere,Davangere,Rice,Broken Rice,FAQ,2350,2350,2350,07 Apr 2025
497,Davangere,Davangere,Rice,Medium,FAQ,2600,2600,2600,26 Jun 2024
498,Davangere,Davangere,Rice,Medium,FAQ,3400,3400,3400,02 Jul 2024
499,Davangere,Davangere,Rice,Medium,FAQ,2600,2600,2600,12 Jul 2024
500,Davangere,Davangere,Rice,Basumathi,FAQ,11000,12000,11500,20 Nov 2015
501,Davangere,Davangere,Rice,Medium,FAQ,2700,2700,2700,26 Jul 2024
502,Davangere,Davangere,Rice,Basumathi,FAQ,12000,13000,12500,09 Oct 2015
503,Davangere,Davangere,Rice,Broken Rice,FAQ,2280,2280,2280,14 May 2025
504,Davangere,Davangere,Rice,Medium,FAQ,3600,3700,3650,24 Mar 2017
505,Davangere,Davangere,Rice,Medium,FAQ,3000,5500,4250,15 Sep 2017
506,Davangere,Davangere,Rice,Medium,FAQ,3600,3700,3650,05 May 2017
507,Davangere,Davangere,Rice,Medium,FAQ,2800,2800,2800,16 May 2025
508,Davangere,Davangere,Rice,Medium,FAQ,3600,3700,3650,26 May 2017
509,Davangere,Davangere,Rice,Medium,Local,2400,3565,3160,09 Jul 2025
510,Davangere,Davangere,Rice,Medium,FAQ,2800,5107,3954,01 Aug 2024
511,Davangere,Davangere,Rice,Basumathi,FAQ,11000,12000,11500,13 Mar 2020
512,Davangere,Davangere,Rice,Medium,FAQ,2900,2900,2900,14 Nov 2024
513,Davangere,Davangere,Rice,Medium,FAQ,2700,6000,4350,14 Sep 2018
514,Davangere,Davangere,Rice,Broken Rice,FAQ,2385,2385,2385,05 Apr 2025
515,Davangere,Davangere,Rice,Medium,FAQ,3600,3700,3650,21 Oct 2016
516,Davangere,Davangere,Rice,Medium,FAQ,3010,7040,4010,15 May 2025
517,Davangere,Davangere,Rice,Medium,FAQ,2900,3800,3350,29 Oct 2024
518,Davangere,Davangere,Rice,Medium,FAQ,3000,3000,3000,16 Jan 2025
519,Davangere,Davangere,Rice,Medium,FAQ,3000,5719,4360,02 Jan 2025
520,Davangere,Davangere,Rice,Medium,FAQ,3600,3700,3650,16 Jun 2017
521,Davangere,Davangere,Rice,Medium,FAQ,2900,3600,3300,08 Oct 2024
522,Davangere,Davangere,Rice,Medium,FAQ,6020,6450,6211,20 Aug 2024
523,Davangere,Davangere,Rice,Broken Rice,FAQ,2130,2500,2315,07 Oct 2024
