Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
224,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1750,2081,1946,17 Oct 2022
225,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1750,2350,1837,18 Feb 2020
226,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1750,2360,1991,26 Feb 2020
227,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1750,2360,1991,27 Feb 2020
228,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1750,2460,2110,04 Feb 2020
229,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1751,1751,1751,22 Aug 2022
230,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1751,1912,1826,23 Aug 2022
231,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1752,1752,1752,14 Jan 2022
232,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1753,1756,1755,07 Sep 2022
233,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1755,1855,1800,29 Dec 2021
234,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1756,1756,1756,12 Jan 2022
235,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1756,2001,1787,02 Sep 2022
236,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1760,1840,1800,22 Feb 2022
237,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1760,1850,1784,12 Feb 2018
238,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1760,1850,1800,28 Mar 2022
239,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1760,1860,1810,02 Jun 2018
240,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1760,1860,1810,31 Mar 2022
241,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1760,1870,1810,06 Apr 2022
242,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1760,1910,1830,14 Mar 2022
243,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1760,1920,1840,29 Mar 2022
244,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1760,1940,1896,21 May 2018
245,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1760,1960,1876,23 May 2018
246,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1760,1970,1860,09 Mar 2022
247,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1760,1975,1897,12 Jan 2018
248,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1760,2050,1809,13 Nov 2019
249,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1761,1761,1761,10 Jan 2022
250,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1761,1761,1761,12 Jul 2022
251,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1761,2081,2013,19 Oct 2022
252,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1765,1765,1765,30 Jun 2018
253,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1768,1768,1768,13 Jan 2022
254,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1768,2050,2020,24 Oct 2019
255,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1769,1769,1769,01 Sep 2022
256,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1770,1860,1831,07 May 2018
257,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1770,1900,1830,25 Mar 2022
258,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1770,1950,1929,14 Nov 2019
259,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1770,1950,1929,16 Nov 2019
260,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1770,2120,1978,12 Mar 2018
261,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1771,1780,1775,27 Dec 2021
262,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1772,1802,1774,17 Aug 2022
