Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Koppal,Gangavathi,Ragi (Finger Millet),Local,FAQ,1780,1780,1780,24 Jun 2016
2,Koppal,Gangavathi,Ragi (Finger Millet),Local,FAQ,1850,1850,1850,25 Sep 2020
3,Koppal,Gangavathi,Ragi (Finger Millet),Local,FAQ,2350,2350,2350,07 Nov 2019
4,Koppal,Gangavathi,Ragi (Finger Millet),Local,FAQ,2800,2800,2800,28 Feb 2023
5,Koppal,Gangavathi,Ragi (Finger Millet),Local,FAQ,2800,2800,2800,30 Sep 2022
6,Koppal,Gangavathi,Ragi (Finger Millet),Local,FAQ,3400,3400,3400,10 Sep 2024
